,Data_No,Differential_pressure,Flow_rate,Time,Dust_feed,Dust,RUL
0,1,0.0,0.0,0.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.84299999999996
1,1,0.0,0.0,0.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.84299999999996
2,1,0.0,0.0,0.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.82399999999994
3,1,0.0,0.0,0.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",65.10999999999991
4,1,0.0,0.0,0.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",65.08799999999992
5,1,0.0,0.0,0.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",65.03899999999993
6,1,0.0,0.0,0.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.99899999999994
7,1,0.0,0.0,0.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.97699999999993
8,1,0.0,0.0,0.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.96599999999992
9,1,0.0,0.0,1.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
10,1,0.0,0.0,1.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
11,1,0.0,0.0,1.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
12,1,0.0,0.0,1.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
13,1,0.0,0.0,1.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
14,1,0.0,0.0,1.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
15,1,0.0,0.0,1.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
16,1,0.0,0.0,1.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
17,1,0.0,0.0,1.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
18,1,0.0,0.0,1.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
19,1,0.0,0.0,2.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
20,1,0.0,0.0,2.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
21,1,0.0,0.0,2.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
22,1,0.0,0.0,2.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
23,1,0.0,0.0,2.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
24,1,0.0,0.0,2.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
25,1,0.0,0.0,2.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
26,1,0.0,0.0,2.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
27,1,0.0,0.0,2.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
28,1,0.0,0.0,2.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
29,1,0.0,0.0,3.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
30,1,0.0,0.0,3.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
31,1,0.0,0.0,3.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",64.95499999999996
